law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"Ryan & Mullin, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=8500,Clay Center,KS,Clay,785-632-5666,,General,Po Box 205 610 5th St,67432,,2,
Clay County District Magistrate Judge,,,https://directory-kard.kscourts.gov/Home/Details?regNum=11049,Clay Center,KS,Clay,785-632-3443,,General,Courthouse 712 5th St,67432,,2,
"Bruce H. Wingerd, Attorney",,,https://directory-kard.kscourts.gov/Home/Details?regNum=5992,Clay Center,KS,Clay,785-632-2300,,General,"431 Court St, PO Box 193",67432,,2,
"Hephaestus Holdings, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=22451,Clay Center,KS,Clay,785-447-1785,,General,1210 18th Rd,67432,,2,
